Entity Registration Date,Entity Profile UEN,Entity Name,Primary Section Description
2020-01-14,53408266A,HMP STUDIO,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-14,53408267W,A*POLARIS INTERNATIONAL,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-14,53408273D,LIGHT OF WISDOM PUBLICATION,INFORMATION AND COMMUNICATIONS
2020-01-14,53408274B,BEST T INTERNATIONAL,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-14,53408275X,FUTURE NEXT DESIGN,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-14,53408286J,HALALNEXUS CONSULTING,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-14,53408299L,BOCS,INFORMATION AND COMMUNICATIONS
2020-01-14,53408304L,OWI JIANG WEI,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-14,53408306D,SGPR,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-14,53408308X,KAREN TAN PROPERTY,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408310B,TOUCHSTONE HUMAN RESOURCES,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408318L,TC CONSULTANCY AND SERVICES,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408322J,CHALK CONSULTANCY,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408324B,BOX SQUARE MEDIA,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408326M,CREST ASIA PACIFIC,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408327K,Y2S SERVICES,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408331E,U.K.L INDUSTRIES,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408335L,LTH CONSULTING,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408338B,WD STUDIO,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408339X,EFCO DESIGN,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408342X,TALENT LIGHTHOUSE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408350A,GREAT PHOTOS SG,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408353J,RELENTLESSNESS,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408354D,DWC SG,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-15,53408369B,MEGO TOUR,INFORMATION AND COMMUNICATIONS
2020-01-16,53408376E,3ICAPITA CONSULTANCY,INFORMATION AND COMMUNICATIONS
2020-01-16,53408377C,GOES ASIA,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-16,53408380C,BE. BY EUGENA,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-16,53408381A,INTERFAY STUDIO,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-16,53408385D,BRANDIE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-16,53408386B,1ST LG MONEY CHANGER,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-16,53408389K,SUNNY CONSULTANCY,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-16,53408395A,JP CREATIVE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-16,53408401W,MYCOALCHEMY,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-16,53408407M,DOUBLE VERTEX,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-16,53408411K,LIM SOLUTIONS,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-16,53408415W,STUDIO LUSH,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-17,53408433L,JONY DIGITAL,INFORMATION AND COMMUNICATIONS
2020-01-17,53408435D,BAREMETALC0,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-17,53408436B,DELIRUSH SG,INFORMATION AND COMMUNICATIONS
